Number of Records,Avg Temp,Cause Group,Date (Weather.Csv),Date,Duration Precipitation,Humidity,Max Precipitation,Max Sight,Max Temp,Max Windgust,Max Windspeed,Min Humidity,Min Sight,Min Temp,Min Windspeed,Ns Lines,Statistical Cause En,Total Precipitation,Windspeed
1,3,rolling stock,11-Jan-11,11-Jan-11,4,90,1,70,6,13,8,80,30,0,4,Utrecht Centraal-Leiden Centraal,broken down train,2,6
1,3,rolling stock,11-Jan-11,11-Jan-11,4,90,1,70,6,13,8,80,30,0,4,Arnhem-Winterswijk,broken down train,2,6
1,5,infrastructure,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Arnhem-Winterswijk,signal failure,11,5
1,5,infrastructure,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Alkmaar-Den Helder,signal failure,11,5
1,5,infrastructure,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Arnhem-Winterswijk,signal failure,11,5
1,5,infrastructure,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Rotterdam C-Hoek v H Strand,damaged overhead wires,11,5
1,5,infrastructure,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Groningen-Roodeschool,signalling and points failure,11,5
1,5,accidents,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Utrecht Centraal-Arnhem,collision,11,5
1,5,infrastructure,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Amsterdam C-Schiphol,signalling and points failure,11,5
1,5,engineering work,12-Jan-11,12-Jan-11,12,100,2,70,9,11,7,90,20,2,3,Rotterdam C-Dordrecht,repair works,11,5
1,9,infrastructure,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Eindhoven-Tilburg,signal and level crossing failure,12,6
1,9,rolling stock,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Harlingen-Leeuwarden,broken down train,12,6
1,9,infrastructure,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Utrecht Centraal,signalling and points failure,12,6
1,9,infrastructure,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Enkhuizen-Amsterdam C/Schiphol,damaged railway bridge,12,6
1,9,accidents,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Utrecht Centraal-Amersfoort,person hit by a train,12,6
1,9,external,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Maastricht-Liège-Guillemins/Visé,by police orders,12,6
1,9,infrastructure,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Apeldoorn-Zutphen,signal failure,12,6
1,9,accidents,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Apeldoorn-Amersfoort/Deventer,collision,12,6
1,9,infrastructure,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Groningen-Roodeschool,power failure,12,6
1,9,accidents,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Zwolle-Groningen/Leeuwarden,person hit by a train,12,6
1,9,accidents,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Eindhoven-'s-Hertogenbosch/Tilburg,person hit by a train,12,6
1,9,external,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Eindhoven-'s-Hertogenbosch/Tilburg,by police orders,12,6
1,9,infrastructure,13-Jan-11,13-Jan-11,12,100,2,60,11,14,9,90,10,8,4,Zutphen-Apeldoorn,signal failure,12,6
1,9,unknown,14-Jan-11,14-Jan-11,10,90,2,70,11,16,10,90,30,7,6,Arnhem-Winterswijk,an obstruction on the line,9,8
1,9,unknown,14-Jan-11,14-Jan-11,10,90,2,70,11,16,10,90,30,7,6,Arnhem-Winterswijk,an obstruction on the line,9,8
1,9,infrastructure,14-Jan-11,14-Jan-11,10,90,2,70,11,16,10,90,30,7,6,Leiden Centraal-Amsterdam C,defective railway track,9,8
1,9,accidents,14-Jan-11,14-Jan-11,10,90,2,70,11,16,10,90,30,7,6,Kampen-Zwolle,damaged railway bridge,9,8
1,9,infrastructure,14-Jan-11,14-Jan-11,10,90,2,70,11,16,10,90,30,7,6,Arnhem-Winterswijk,signal and level crossing failure,9,8
1,9,infrastructure,14-Jan-11,14-Jan-11,10,90,2,70,11,16,10,90,30,7,6,Zwolle-Emmen,signal failure,9,8
1,9,external,14-Jan-11,14-Jan-11,10,90,2,70,11,16,10,90,30,7,6,Dordrecht-Rotterdam C,by order of the fire service,9,8
1,8,infrastructure,15-Jan-11,15-Jan-11,0,90,0,70,10,15,10,80,60,7,5,Zutphen-Deventer,points failure,0,8
1,8,infrastructure,15-Jan-11,15-Jan-11,0,90,0,70,10,15,10,80,60,7,5,Nijmegen-'s-Hertogenbosch,damaged overhead wires,0,8
1,8,accidents,15-Jan-11,15-Jan-11,0,90,0,70,10,15,10,80,60,7,5,Alkmaar-Den Helder,collision,0,8
1,9,infrastructure,16-Jan-11,16-Jan-11,0,80,0,80,12,13,8,70,60,7,5,Nijmegen-Venlo,signal and level crossing failure,0,7
1,9,infrastructure,16-Jan-11,16-Jan-11,0,80,0,80,12,13,8,70,60,7,5,Dordrecht-Den Haag HS,signalling and points failure,0,7
1,9,accidents,16-Jan-11,16-Jan-11,0,80,0,80,12,13,8,70,60,7,5,Breda-Tilburg,person hit by a train,0,7
1,8,infrastructure,17-Jan-11,17-Jan-11,3,90,1,70,9,12,8,90,30,5,2,Winterswijk-Arnhem,signal and level crossing failure,2,5
1,8,infrastructure,17-Jan-11,17-Jan-11,3,90,1,70,9,12,8,90,30,5,2,Zutphen-Deventer,points failure,2,5
1,8,infrastructure,17-Jan-11,17-Jan-11,3,90,1,70,9,12,8,90,30,5,2,Zutphen-Deventer,points failure,2,5
1,8,infrastructure,17-Jan-11,17-Jan-11,3,90,1,70,9,12,8,90,30,5,2,Den Haag C-Utrecht Centraal,damaged overhead wires,2,5
1,8,infrastructure,17-Jan-11,17-Jan-11,3,90,1,70,9,12,8,90,30,5,2,Deventer-Amersfoort,points failure,2,5
1,8,infrastructure,17-Jan-11,17-Jan-11,3,90,1,70,9,12,8,90,30,5,2,Schiphol-Lelystad C/Utrecht Centraal,points failure,2,5
1,8,infrastructure,17-Jan-11,17-Jan-11,3,90,1,70,9,12,8,90,30,5,2,Lelystad C-Amsterdam C/Schiphol,signalling and points failure,2,5
1,5,infrastructure,18-Jan-11,18-Jan-11,3,100,2,70,6,8,5,90,10,2,1,Zutphen-Deventer,points failure,5,3
1,5,infrastructure,18-Jan-11,18-Jan-11,3,100,2,70,6,8,5,90,10,2,1,Arnhem-Winterswijk,signal failure,5,3
1,3,infrastructure,19-Jan-11,19-Jan-11,1,90,1,70,6,10,5,90,40,1,2,Arnhem-Ede-Wageningen/Nijmegen,damaged overhead wires,2,3
1,3,accidents,19-Jan-11,19-Jan-11,1,90,1,70,6,10,5,90,40,1,2,Roosendaal-Breda,person hit by a train,2,3
1,2,accidents,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Rotterdam C-Amsterdam C/Utrecht Centraal,person hit by a train,0,3
1,2,rolling stock,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Haarlem-Amsterdam C,broken down train,0,3
1,2,infrastructure,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Zutphen-Hengelo,signal failure,0,3
1,2,unknown,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Schiphol-Alkmaar/Amsterdam C/Enkhuizen/Lelystad C/Utrecht Centraal,an obstruction on the line,0,3
1,2,infrastructure,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Alkmaar-Den Helder,damaged railway bridge,0,3
1,2,unknown,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Schiphol-Lelystad C,cause yet unknown,0,3
1,2,infrastructure,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Amsterdam C-Haarlem,damaged railway bridge,0,3
1,2,rolling stock,20-Jan-11,20-Jan-11,0,90,0,70,5,9,6,80,30,-2,1,Amsterdam C-Rotterdam C/Schiphol/Utrecht Centraal,broken down train,0,3
1,1,infrastructure,21-Jan-11,21-Jan-11,0,100,0,70,4,6,4,90,10,-2,1,Lelystad C-Amsterdam C/Schiphol,signal failure,0,2
1,1,infrastructure,21-Jan-11,21-Jan-11,0,100,0,70,4,6,4,90,10,-2,1,Zutphen-Hengelo/Oldenzaal,signal failure,0,2
1,1,rolling stock,21-Jan-11,21-Jan-11,0,100,0,70,4,6,4,90,10,-2,1,Amsterdam C-Enkhuizen,broken down train,0,2
1,1,accidents,21-Jan-11,21-Jan-11,0,100,0,70,4,6,4,90,10,-2,1,Roermond-Eindhoven,collision,0,2
1,1,infrastructure,21-Jan-11,21-Jan-11,0,100,0,70,4,6,4,90,10,-2,1,Hilversum-Lelystad C,signal failure,0,2
1,4,accidents,22-Jan-11,22-Jan-11,2,90,0,70,6,9,5,90,20,2,2,Stavoren-Leeuwarden,person hit by a train,1,4
1,5,infrastructure,23-Jan-11,23-Jan-11,1,100,0,60,6,10,6,90,10,2,2,Utrecht Centraal-Ede-Wageningen/Rhenen,signal and level crossing failure,0,4
1,5,rolling stock,24-Jan-11,24-Jan-11,2,90,0,70,6,10,6,90,30,4,3,Schiphol-Eindhoven/Utrecht Centraal,broken down train,1,4
1,5,infrastructure,24-Jan-11,24-Jan-11,2,90,0,70,6,10,6,90,30,4,3,Groningen-Delfzijl,signal failure,1,4
1,5,accidents,24-Jan-11,24-Jan-11,2,90,0,70,6,10,6,90,30,4,3,Leiden Centraal-Den Haag C/Den Haag HS,person hit by a train,1,4
1,5,engineering work,24-Jan-11,24-Jan-11,2,90,0,70,6,10,6,90,30,4,3,Rotterdam C-Hoek v H Strand,repair works,1,4
1,4,engineering work,25-Jan-11,25-Jan-11,4,90,1,70,6,14,8,80,30,1,2,Hoek v H Strand-Rotterdam C,over-running engineering works,3,5
1,4,rolling stock,25-Jan-11,25-Jan-11,4,90,1,70,6,14,8,80,30,1,2,Zwolle-Groningen,broken down train,3,5
1,1,infrastructure,26-Jan-11,26-Jan-11,1,90,0,70,4,9,6,80,30,-1,0,Leiden Centraal-Utrecht Centraal,damaged railway bridge,0,3
1,1,accidents,26-Jan-11,26-Jan-11,1,90,0,70,4,9,6,80,30,-1,0,Brussel-Zuid-Roosendaal,person hit by a train,0,3
1,1,infrastructure,26-Jan-11,26-Jan-11,1,90,0,70,4,9,6,80,30,-1,0,Utrecht Centraal-Amsterdam C/Eindhoven,power failure,0,3
1,1,engineering work,26-Jan-11,26-Jan-11,1,90,0,70,4,9,6,80,30,-1,0,Rhenen-Utrecht Centraal,repair works,0,3
1,1,infrastructure,26-Jan-11,26-Jan-11,1,90,0,70,4,9,6,80,30,-1,0,Amersfoort-Hilversum,points failure,0,3
1,0,infrastructure,27-Jan-11,27-Jan-11,0,80,0,80,2,11,7,60,50,-3,4,Amersfoort-Zwolle,points failure,0,5
1,0,rolling stock,27-Jan-11,27-Jan-11,0,80,0,80,2,11,7,60,50,-3,4,Enkhuizen-Amsterdam C/Schiphol,broken down train,0,5
1,-2,infrastructure,28-Jan-11,28-Jan-11,0,80,0,80,1,9,6,70,60,-4,3,Ede-Wageningen-Amersfoort,damaged overhead wires,0,5
1,-2,infrastructure,28-Jan-11,28-Jan-11,0,80,0,80,1,9,6,70,60,-4,3,Stavoren-Leeuwarden,signal and level crossing failure,0,5
1,-2,infrastructure,28-Jan-11,28-Jan-11,0,80,0,80,1,9,6,70,60,-4,3,Utrecht Centraal-'s-Hertogenbosch/Tiel,power failure,0,5
1,-2,rolling stock,28-Jan-11,28-Jan-11,0,80,0,80,1,9,6,70,60,-4,3,Roosendaal-Breda,broken down train,0,5
1,-2,accidents,28-Jan-11,28-Jan-11,0,80,0,80,1,9,6,70,60,-4,3,Utrecht Centraal-Amersfoort/Baarn,person hit by a train,0,5
1,-2,infrastructure,28-Jan-11,28-Jan-11,0,80,0,80,1,9,6,70,60,-4,3,Roosendaal-Breda,signal and level crossing failure,0,5
1,-3,infrastructure,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Utrecht Centraal-Arnhem,points failure,0,3
1,-3,rolling stock,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Deventer-Amersfoort,broken down train,0,3
1,-3,infrastructure,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Leer (Ostfr.)-Groningen,damaged railway bridge,0,3
1,-3,infrastructure,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Arnhem-Winterswijk,signal and level crossing failure,0,3
1,-3,infrastructure,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Amsterdam C-Amersfoort/Lelystad C,points failure,0,3
1,-3,infrastructure,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Zutphen-Winterswijk,signal failure,0,3
1,-3,infrastructure,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Zutphen-Winterswijk,signal failure,0,3
1,-3,unknown,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Amersfoort-Zwolle,an obstruction on the line,0,3
1,-3,accidents,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Eindhoven-Venlo,person hit by a train,0,3
1,-3,accidents,29-Jan-11,29-Jan-11,0,90,0,60,1,8,5,80,20,-6,2,Roodeschool-Groningen,person hit by a train,0,3
1,-1,infrastructure,30-Jan-11,30-Jan-11,0,90,0,60,1,8,5,90,10,-5,2,Utrecht Centraal-Arnhem/Rhenen,points failure,0,3
1,-1,infrastructure,30-Jan-11,30-Jan-11,0,90,0,60,1,8,5,90,10,-5,2,Geldermalsen-Dordrecht,signalling and points failure,0,3
1,-1,rolling stock,30-Jan-11,30-Jan-11,0,90,0,60,1,8,5,90,10,-5,2,Zutphen-Almelo/Enschede/Hengelo/Oldenzaal,broken down train,0,3
1,-1,accidents,30-Jan-11,30-Jan-11,0,90,0,60,1,8,5,90,10,-5,2,Nijmegen-'s-Hertogenbosch,collision,0,3
1,-2,infrastructure,31-Jan-11,31-Jan-11,0,90,0,60,0,6,3,80,30,-3,1,Arnhem-Winterswijk,signal and level crossing failure,0,2
1,-1,infrastructure,01-Feb-11,01-Feb-11,2,90,1,50,2,10,7,90,0,-3,2,Eindhoven-Venlo,signal and level crossing failure,1,5
1,-1,unknown,01-Feb-11,01-Feb-11,2,90,1,50,2,10,7,90,0,-3,2,'s-Hertogenbosch-Eindhoven,an obstruction on the line,1,5
1,-1,rolling stock,01-Feb-11,01-Feb-11,2,90,1,50,2,10,7,90,0,-3,2,Groningen-Delfzijl,broken down train,1,5
1,-1,infrastructure,01-Feb-11,01-Feb-11,2,90,1,50,2,10,7,90,0,-3,2,Geldermalsen-Dordrecht,damaged overhead wires,1,5
1,3,infrastructure,02-Feb-11,02-Feb-11,1,100,1,50,5,14,9,90,0,2,3,Geldermalsen-Dordrecht,signal failure,1,7
1,3,accidents,02-Feb-11,02-Feb-11,1,100,1,50,5,14,9,90,0,2,3,Den Haag HS-Leiden Centraal,person hit by a train,1,7
1,3,infrastructure,02-Feb-11,02-Feb-11,1,100,1,50,5,14,9,90,0,2,3,Schiphol-Amsterdam C/Hilversum/Lelystad C/Utrecht Centraal,points failure,1,7
1,5,rolling stock,03-Feb-11,03-Feb-11,2,90,1,60,7,15,10,80,20,3,4,Tiel-Arnhem,broken down train,1,6
1,5,infrastructure,03-Feb-11,03-Feb-11,2,90,1,60,7,15,10,80,20,3,4,Arnhem-Winterswijk,power failure,1,6
1,9,weather,04-Feb-11,04-Feb-11,2,80,0,70,10,22,14,80,50,6,10,Amsterdam C-Den Helder,weather circumstances,1,12
1,9,rolling stock,04-Feb-11,04-Feb-11,2,80,0,70,10,22,14,80,50,6,10,Hengelo-Bad Bentheim/Oldenzaal/Osnabr ck,broken down train,1,12
1,9,rolling stock,04-Feb-11,04-Feb-11,2,80,0,70,10,22,14,80,50,6,10,Eindhoven-Schiphol/Utrecht Centraal,broken down train,1,12
1,9,infrastructure,04-Feb-11,04-Feb-11,2,80,0,70,10,22,14,80,50,6,10,Arnhem-Winterswijk,defective railway track,1,12
1,9,accidents,04-Feb-11,04-Feb-11,2,80,0,70,10,22,14,80,50,6,10,Leer (Ostfr.)-Groningen,collision,1,12
1,9,infrastructure,04-Feb-11,04-Feb-11,2,80,0,70,10,22,14,80,50,6,10,Leer (Ostfr.)-Groningen,damaged railway bridge,1,12
1,9,infrastructure,04-Feb-11,04-Feb-11,2,80,0,70,10,22,14,80,50,6,10,Dordrecht-Geldermalsen,signal failure,1,12
1,10,accidents,05-Feb-11,05-Feb-11,0,80,0,70,11,22,14,80,60,9,11,Emmen-Zwolle,person hit by a train,0,13
1,9,infrastructure,06-Feb-11,06-Feb-11,0,80,0,70,11,20,13,70,60,8,9,Dordrecht-Roosendaal/Rotterdam C,damaged overhead wires,0,11
1,9,infrastructure,06-Feb-11,06-Feb-11,0,80,0,70,11,20,13,70,60,8,9,"Amsterdam C-Rotterdam C, Utrecht Centraal-Den Haag C/Rotterdam C",points failure,0,11
1,9,unknown,06-Feb-11,06-Feb-11,0,80,0,70,11,20,13,70,60,8,9,Lelystad C-Schiphol,cause yet unknown,0,11
1,9,weather,06-Feb-11,06-Feb-11,0,80,0,70,11,20,13,70,60,8,9,Leiden Centraal-Alphen a/d Rijn,weather circumstances,0,11
1,8,infrastructure,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Arnhem-Winterswijk,defective railway track,0,9
1,8,infrastructure,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Utrecht Centraal-Amsterdam C/Schiphol,defective railway track,0,9
1,8,infrastructure,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Lelystad C-Schiphol,signal failure,0,9
1,8,infrastructure,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Rotterdam C-Dordrecht,points failure,0,9
1,8,external,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Nijmegen-'s-Hertogenbosch,by order of the fire service,0,9
1,8,accidents,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Zwolle-Groningen,person hit by a train,0,9
1,8,rolling stock,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Lelystad C-Amsterdam C/Hilversum/Schiphol,broken down train,0,9
1,8,infrastructure,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Zwolle-Leeuwarden,signal and level crossing failure,0,9
1,8,unknown,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Rotterdam C-Hoek v H Strand,cause yet unknown,0,9
1,8,unknown,07-Feb-11,07-Feb-11,0,80,0,80,10,19,12,70,60,6,5,Hengelo-Bad Bentheim/Oldenzaal/Osnabrück,,0,9
1,4,unknown,08-Feb-11,08-Feb-11,0,90,0,80,9,8,5,70,30,-2,1,Hengelo-Bad Bentheim/Oldenzaal/Osnabrück,,0,3
1,4,infrastructure,08-Feb-11,08-Feb-11,0,90,0,80,9,8,5,70,30,-2,1,Groningen-Roodeschool,signal failure,0,3
1,4,infrastructure,08-Feb-11,08-Feb-11,0,90,0,80,9,8,5,70,30,-2,1,Groningen-Delfzijl,signal failure,0,3
1,4,infrastructure,08-Feb-11,08-Feb-11,0,90,0,80,9,8,5,70,30,-2,1,Arnhem-Winterswijk,signal failure,0,3
1,3,rolling stock,09-Feb-11,09-Feb-11,0,90,0,70,9,8,5,70,20,-2,1,Eindhoven-Venlo,broken down train,0,3
1,3,accidents,09-Feb-11,09-Feb-11,0,90,0,70,9,8,5,70,20,-2,1,Tilburg-'s-Hertogenbosch/Eindhoven,damaged railway bridge,0,3
1,3,infrastructure,09-Feb-11,09-Feb-11,0,90,0,70,9,8,5,70,20,-2,1,Zutphen-Hengelo,defective railway track,0,3
1,3,unknown,09-Feb-11,09-Feb-11,0,90,0,70,9,8,5,70,20,-2,1,Schiphol-Lelystad C,cause yet unknown,0,3
1,3,infrastructure,09-Feb-11,09-Feb-11,0,90,0,70,9,8,5,70,20,-2,1,Zutphen-Hengelo,defective railway track,0,3
1,7,unknown,10-Feb-11,10-Feb-11,7,90,2,60,10,11,7,80,20,3,2,Arnhem-Winterswijk,cause yet unknown,6,5
1,7,accidents,10-Feb-11,10-Feb-11,7,90,2,60,10,11,7,80,20,3,2,Venlo-Roermond,person hit by a train,6,5
1,7,infrastructure,10-Feb-11,10-Feb-11,7,90,2,60,10,11,7,80,20,3,2,Stavoren-Leeuwarden,signal failure,6,5
